outcome,animal_type,age,is_sterilized,sex,number_animals_in_shelter 
Adopted,short_hair_cat,0.164383562,No,Male,12
Adopted,short_hair_cat,0.164383562,No,Male,1
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,0.246575342,No,Male,6
Adopted,short_hair_cat,0.164383562,Yes,Female,11
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,0.164383562,No,Male,4
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.246575342,No,Male,10
Adopted,short_hair_cat,0.493150685,Yes,Female,2
Adopted,short_hair_cat,2,No,Male,6
Adopted,short_hair_cat,3,Yes,Female,3
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,2,Yes,Female,7
Adopted,short_hair_cat,0.328767123,No,Male,3
Adopted,short_hair_cat,0.328767123,Yes,Female,12
Adopted,short_hair_cat,2,Yes,Female,2
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,0.164383562,No,Male,5
Adopted,short_hair_cat,0.082191781,No,Male,12
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,0.246575342,Yes,Female,2
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,0.164383562,Yes,Female,11
Adopted,short_hair_cat,0.164383562,No,Male,1
Adopted,short_hair_cat,6,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.410958904,Yes,Female,12
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,2,No,Male,1
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,8,No,Male,5
Adopted,short_hair_cat,5,No,Male,2
Adopted,short_hair_cat,1,No,Male,12
Adopted,short_hair_cat,0.904109589,No,Male,11
Adopted,short_hair_cat,6,No,Male,6
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,2,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.246575342,No,Male,11
Adopted,short_hair_cat,1,No,Male,3
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.246575342,Yes,Female,12
Adopted,short_hair_cat,4,Yes,Female,8
Adopted,short_hair_cat,6,No,Male,6
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,Yes,Female,1
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,2,No,Male,12
Adopted,short_hair_cat,0.493150685,No,Male,10
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,1,No,Male,12
Adopted,short_hair_cat,2,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.328767123,No,Male,8
Adopted,short_hair_cat,8,No,Male,5
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,1,No,Male,9
Adopted,short_hair_cat,5,No,Male,9
Adopted,short_hair_cat,2,No,Male,9
Adopted,short_hair_cat,0.164383562,Yes,Female,11
Adopted,short_hair_cat,0.328767123,Yes,Female,9
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.164383562,Yes,Female,10
Adopted,short_hair_cat,0.246575342,No,Male,9
Adopted,short_hair_cat,1,No,Male,2
Adopted,short_hair_cat,0.493150685,Yes,Female,12
Adopted,short_hair_cat,0.246575342,Yes,Female,1
Adopted,short_hair_cat,4,No,Male,1
Adopted,short_hair_cat,0.164383562,No,Male,12
Adopted,short_hair_cat,0.246575342,Yes,Female,12
Adopted,short_hair_cat,0.410958904,No,Male,11
Adopted,short_hair_cat,1,Yes,Female,8
Adopted,short_hair_cat,0.246575342,No,Male,11
Adopted,short_hair_cat,1,Yes,Female,10
Adopted,short_hair_cat,4,Yes,Female,9
Adopted,short_hair_cat,0.164383562,Yes,Female,10
Adopted,short_hair_cat,0.739726027,No,Male,1
Adopted,short_hair_cat,0.164383562,No,Male,10
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.657534247,Yes,Female,1
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,6,No,Male,1
Adopted,short_hair_cat,2,Yes,Female,1
Adopted,short_hair_cat,0.164383562,Yes,Female,5
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,0.246575342,Yes,Female,11
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,0.246575342,Yes,Female,5
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.246575342,No,Male,7
Adopted,short_hair_cat,1,Yes,Female,6
Adopted,short_hair_cat,0.410958904,No,Male,3
Adopted,short_hair_cat,0.246575342,No,Male,7
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,0.246575342,Yes,Female,12
Adopted,short_hair_cat,1,Yes,Female,10
Adopted,short_hair_cat,3,Yes,Female,7
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,1,Yes,Female,8
Adopted,short_hair_cat,0.082191781,No,Male,6
Adopted,short_hair_cat,0.493150685,No,Male,11
Adopted,short_hair_cat,1,No,Male,12
Adopted,short_hair_cat,0.164383562,No,Male,12
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,15,Yes,Female,3
Adopted,short_hair_cat,0.164383562,Yes,Female,5
Adopted,short_hair_cat,2,Yes,Female,3
Adopted,short_hair_cat,3,No,Male,7
Adopted,short_hair_cat,0.246575342,No,Male,9
Adopted,short_hair_cat,3,No,Male,1
Adopted,short_hair_cat,9,No,Male,9
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,0.246575342,No,Male,1
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,0.575342466,Yes,Female,9
Adopted,short_hair_cat,0.739726027,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,6,Yes,Female,12
Adopted,short_hair_cat,0.164383562,No,Female,5
Adopted,short_hair_cat,0.575342466,Yes,Female,11
Adopted,short_hair_cat,0.246575342,Yes,Female,12
Adopted,short_hair_cat,1,Yes,Female,1
Adopted,short_hair_cat,0.246575342,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,12
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.246575342,Yes,Female,8
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,7,Yes,Female,9
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.328767123,Yes,Female,7
Adopted,short_hair_cat,0.328767123,Yes,Female,12
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.246575342,No,Male,9
Adopted,short_hair_cat,3,Yes,Female,7
Adopted,short_hair_cat,0.164383562,No,Male,1
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,8,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.410958904,No,Male,9
Adopted,short_hair_cat,0.410958904,Yes,Female,10
Adopted,short_hair_cat,5,No,Male,3
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,13,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,4,Yes,Female,4
Adopted,short_hair_cat,0.082191781,No,Male,2
Adopted,short_hair_cat,0.082191781,No,Female,6
Adopted,short_hair_cat,3,No,Male,7
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,1,No,Male,11
Adopted,short_hair_cat,2,No,Male,6
Adopted,short_hair_cat,0.493150685,No,Male,3
Adopted,short_hair_cat,1,Yes,Female,1
Adopted,short_hair_cat,0.410958904,Yes,Female,9
Adopted,short_hair_cat,8,Yes,Female,12
Adopted,short_hair_cat,0.164383562,Yes,Female,1
Adopted,short_hair_cat,0.164383562,No,Male,10
Adopted,short_hair_cat,3,Yes,Female,10
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,0.082191781,Yes,Female,5
Adopted,short_hair_cat,0.082191781,No,Male,8
Adopted,short_hair_cat,1,Yes,Female,7
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,Yes,Female,9
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.246575342,Yes,Female,9
Adopted,short_hair_cat,0.246575342,No,Male,11
Adopted,short_hair_cat,6,No,Male,11
Adopted,short_hair_cat,0.164383562,No,Male,10
Adopted,short_hair_cat,0.164383562,Yes,Female,9
Adopted,short_hair_cat,2,Yes,Female,7
Adopted,short_hair_cat,5,Yes,Female,11
Adopted,short_hair_cat,0.164383562,No,Male,12
Adopted,short_hair_cat,4,No,Male,5
Adopted,short_hair_cat,1,Yes,Female,12
Adopted,short_hair_cat,0.246575342,Yes,Female,1
Adopted,short_hair_cat,0.164383562,Yes,Female,10
Adopted,short_hair_cat,0.246575342,No,Male,7
Adopted,short_hair_cat,7,Yes,Female,1
Adopted,short_hair_cat,0.164383562,Yes,Female,12
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,2,Yes,Female,7
Adopted,short_hair_cat,0.410958904,Yes,Female,12
Adopted,short_hair_cat,0.164383562,Yes,Female,1
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.328767123,No,Male,11
Adopted,short_hair_cat,8,Yes,Female,2
Adopted,short_hair_cat,0.410958904,No,Male,6
Adopted,short_hair_cat,0.082191781,No,Male,7
Adopted,short_hair_cat,5,No,Male,11
Adopted,short_hair_cat,3,Yes,Female,10
Adopted,short_hair_cat,0.246575342,No,Male,12
Adopted,short_hair_cat,0.164383562,No,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,12
Adopted,short_hair_cat,0.821917808,No,Male,2
Adopted,short_hair_cat,0.164383562,No,Female,6
Adopted,short_hair_cat,0.410958904,Yes,Female,3
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.493150685,Yes,Female,3
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,2,Yes,Female,4
Adopted,short_hair_cat,0.328767123,No,Male,11
Adopted,short_hair_cat,0.739726027,Yes,Female,2
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,3,No,Male,7
Adopted,short_hair_cat,0.164383562,No,Female,9
Adopted,short_hair_cat,0.328767123,Yes,Female,8
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,0.821917808,No,Male,2
Adopted,short_hair_cat,0.575342466,Yes,Female,2
Adopted,short_hair_cat,2,Yes,Female,12
Adopted,short_hair_cat,1,Yes,Female,8
Adopted,short_hair_cat,0.082191781,No,Male,12
Adopted,short_hair_cat,0.246575342,Yes,Female,11
Adopted,short_hair_cat,0.246575342,Yes,Female,8
Adopted,short_hair_cat,0.328767123,Yes,Female,10
Adopted,short_hair_cat,0.246575342,No,Male,8
Adopted,short_hair_cat,0.082191781,No,Female,10
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,No,Female,9
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,7,No,Male,4
Adopted,short_hair_cat,0.246575342,Yes,Female,3
Adopted,short_hair_cat,8,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.904109589,Yes,Female,5
Adopted,short_hair_cat,0.164383562,No,Male,12
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,0.246575342,Yes,Female,11
Adopted,short_hair_cat,10,Yes,Female,1
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.328767123,No,Male,1
Adopted,short_hair_cat,0.246575342,No,Male,7
Adopted,short_hair_cat,1,Yes,Female,8
Adopted,short_hair_cat,8,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,0.164383562,No,Male,4
Adopted,short_hair_cat,0.246575342,No,Male,11
Adopted,short_hair_cat,0.246575342,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,5,Yes,Female,5
Adopted,short_hair_cat,0.164383562,Yes,Female,9
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,3,Yes,Female,10
Adopted,short_hair_cat,0.082191781,No,Male,10
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,0.164383562,No,Male,10
Adopted,short_hair_cat,0.164383562,No,Male,10
Adopted,short_hair_cat,1,Yes,Female,8
Adopted,short_hair_cat,0.164383562,Yes,Female,7
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,4,Yes,Female,5
Adopted,short_hair_cat,0.164383562,Yes,Female,10
Adopted,short_hair_cat,2,No,Male,9
Adopted,short_hair_cat,0.821917808,No,Male,3
Adopted,short_hair_cat,0.246575342,No,Male,8
Adopted,short_hair_cat,1,Yes,Female,3
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,3,No,Male,1
Adopted,short_hair_cat,0.082191781,Yes,Female,12
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.164383562,Yes,Female,4
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,1,Yes,Female,5
Adopted,short_hair_cat,0.493150685,Yes,Female,1
Adopted,short_hair_cat,2,No,Male,7
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,1,No,Male,6
Adopted,short_hair_cat,0.164383562,Yes,Female,12
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,1,Yes,Female,11
Adopted,short_hair_cat,1,No,Male,5
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,5,No,Male,5
Adopted,short_hair_cat,0.410958904,Yes,Female,8
Adopted,short_hair_cat,1,No,Male,10
Adopted,short_hair_cat,5,No,Male,3
Adopted,short_hair_cat,0.164383562,Yes,Female,8
Adopted,short_hair_cat,1,No,Male,6
Adopted,short_hair_cat,0.164383562,Yes,Female,11
Adopted,short_hair_cat,0.164383562,Yes,Female,11
Adopted,short_hair_cat,0.410958904,Yes,Female,9
Adopted,short_hair_cat,0.164383562,Yes,Female,9
Adopted,short_hair_cat,0.410958904,No,Male,8
Adopted,short_hair_cat,0.246575342,Yes,Female,12
Adopted,short_hair_cat,0.164383562,No,Male,8
Adopted,short_hair_cat,0.904109589,Yes,Female,1
Adopted,short_hair_cat,5,Yes,Female,8
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,Yes,Female,9
Adopted,short_hair_cat,0.493150685,No,Male,11
Adopted,short_hair_cat,0.164383562,No,Male,9
Adopted,short_hair_cat,0.164383562,Yes,Female,1
Adopted,short_hair_cat,0.082191781,No,Male,7
Adopted,short_hair_cat,0.328767123,Yes,Female,11
Adopted,short_hair_cat,1,No,Male,11
Adopted,short_hair_cat,0.657534247,Yes,Female,2
Adopted,short_hair_cat,8,Yes,Female,12
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.164383562,No,Male,5
Adopted,short_hair_cat,1,Yes,Female,2
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,3,Yes,Female,11
Adopted,short_hair_cat,0.164383562,No,Male,1
Adopted,short_hair_cat,2,No,Male,6
Adopted,short_hair_cat,0.082191781,Yes,Female,6
Adopted,short_hair_cat,0.246575342,Yes,Female,3
Adopted,short_hair_cat,0.246575342,Yes,Female,12
Adopted,short_hair_cat,13,Yes,Female,5
Adopted,short_hair_cat,0.164383562,No,Female,10
Adopted,short_hair_cat,0.164383562,No,Male,6
Adopted,short_hair_cat,7,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,10
Adopted,short_hair_cat,0.164383562,No,Male,11
Adopted,short_hair_cat,2,Yes,Female,12
Adopted,short_hair_cat,2,No,Male,6
Adopted,short_hair_cat,0.082191781,Yes,Female,8
Adopted,short_hair_cat,0.082191781,Yes,Female,11
Adopted,short_hair_cat,0.164383562,No,Male,5
Adopted,short_hair_cat,1,Yes,Female,3
Adopted,short_hair_cat,0.164383562,Yes,Female,1
Adopted,short_hair_cat,0.082191781,Yes,Female,4
Adopted,short_hair_cat,0.164383562,Yes,Female,6
Adopted,short_hair_cat,0.164383562,No,Male,7
Adopted,short_hair_cat,0.246575342,No,Male,9
Adopted,short_hair_cat,1,Yes,Female,7
Adopted,short_hair_cat,0.164383562,Yes,Female,2
Adopted,long_hair_cat,0.246575342,No,Male,2
Adopted,long_hair_cat,0.328767123,No,Male,3
Adopted,long_hair_cat,0.164383562,Yes,Female,4
Adopted,long_hair_cat,0.246575342,Yes,Female,2
Adopted,long_hair_cat,0.657534247,No,Male,1
Adopted,long_hair_cat,0.164383562,No,Male,2
Adopted,long_hair_cat,3,Yes,Female,3
Adopted,long_hair_cat,0.164383562,No,Male,4
Adopted,long_hair_cat,1,No,Male,1
Adopted,long_hair_cat,0.164383562,No,Male,2
Adopted,long_hair_cat,0.246575342,No,Male,3
Adopted,long_hair_cat,6,No,Male,4
Adopted,long_hair_cat,0.164383562,No,Male,7
Adopted,long_hair_cat,10,Yes,Female,3
Adopted,long_hair_cat,0.164383562,No,Male,6
Adopted,long_hair_cat,0.493150685,No,Male,3
Adopted,long_hair_cat,0.164383562,Yes,Female,11
Adopted,long_hair_cat,0.164383562,Yes,Female,12
Adopted,long_hair_cat,0.246575342,No,Male,10
Adopted,long_hair_cat,2,Yes,Female,6
Adopted,long_hair_cat,14,Yes,Female,7
Adopted,long_hair_cat,0.246575342,No,Male,11
Adopted,long_hair_cat,0.164383562,No,Male,7
Adopted,long_hair_cat,0.246575342,Yes,Female,8
Adopted,long_hair_cat,0.328767123,Yes,Female,7
Adopted,long_hair_cat,0.164383562,Yes,Female,5
Adopted,long_hair_cat,0.164383562,No,Male,1
Adopted,long_hair_cat,1,No,Male,3
Adopted,long_hair_cat,0.164383562,No,Male,2
Adopted,long_hair_cat,2,Yes,Female,7
Adopted,long_hair_cat,0.164383562,No,Male,12
Adopted,long_hair_cat,0.246575342,No,Male,2
Adopted,long_hair_cat,0.575342466,Yes,Female,5
Adopted,long_hair_cat,0.246575342,Yes,Female,10
Adopted,long_hair_cat,0.082191781,No,Male,5
Adopted,long_hair_cat,0.246575342,Yes,Female,1
Adopted,large_dog,3,No,Female,5
Adopted,large_dog,0.328767123,Yes,Female,2
Adopted,large_dog,2,No,Male,12
Adopted,large_dog,2,Yes,Female,3
Adopted,large_dog,1,Yes,Female,4
Adopted,large_dog,4,No,Male,5
Adopted,large_dog,4,No,Male,10
Adopted,large_dog,6,Yes,Female,2
Adopted,large_dog,1,No,Male,12
Adopted,large_dog,0.575342466,No,Male,11
Adopted,large_dog,8,No,Male,12
Adopted,large_dog,0.821917808,Yes,Female,8
Adopted,large_dog,9,No,Male,6
Adopted,large_dog,2,Yes,Female,3
Adopted,large_dog,3,Yes,Female,8
Adopted,large_dog,2,Yes,Female,12
Adopted,large_dog,1,No,Male,3
Adopted,large_dog,0.164383562,No,Male,1
Adopted,large_dog,0.410958904,Yes,Female,9
Adopted,large_dog,3,Yes,Female,10
Adopted,large_dog,2,Yes,Female,4
Adopted,large_dog,1,No,Male,9
Adopted,large_dog,1,No,Male,4
Adopted,large_dog,4,Yes,Female,3
Adopted,large_dog,0.082191781,No,Male,5
Adopted,large_dog,0.164383562,Yes,Female,8
Adopted,large_dog,0.575342466,No,Male,8
Adopted,large_dog,0.821917808,Yes,Female,3
Adopted,large_dog,1,No,Male,1
Adopted,large_dog,0.410958904,No,Male,5
Adopted,large_dog,2,No,Male,3
Adopted,large_dog,6,Yes,Female,6
Adopted,large_dog,0.164383562,Yes,Female,7
Adopted,large_dog,3,No,Male,8
Adopted,large_dog,2,No,Male,8
Adopted,large_dog,0.328767123,Yes,Female,2
Adopted,large_dog,1,No,Male,12
Adopted,large_dog,2,Yes,Female,10
Adopted,large_dog,1,Yes,Female,12
Adopted,large_dog,6,No,Male,5
Adopted,large_dog,0.164383562,Yes,Female,8
Adopted,large_dog,0.082191781,Yes,Female,3
Adopted,large_dog,3,Yes,Female,4
Adopted,large_dog,0.575342466,Yes,Female,11
Adopted,large_dog,0.410958904,Yes,Female,5
Adopted,large_dog,1,No,Male,12
Adopted,large_dog,10,No,Male,11
Adopted,large_dog,0.575342466,Yes,Female,10
Adopted,large_dog,2,Yes,Female,1
Adopted,large_dog,0.575342466,Yes,Female,7
Adopted,large_dog,2,Yes,Female,12
Adopted,large_dog,3,Yes,Female,1
Adopted,large_dog,4,No,Male,5
Adopted,large_dog,12,No,Male,6
Adopted,large_dog,5,No,Male,3
Adopted,large_dog,0.164383562,Yes,Female,10
Adopted,large_dog,0.904109589,Yes,Female,11
Adopted,large_dog,0.821917808,No,Male,2
Adopted,large_dog,4,No,Male,7
Adopted,large_dog,1,No,Male,10
Adopted,large_dog,0.821917808,No,Male,3
Adopted,large_dog,5,No,Male,2
Adopted,large_dog,1,No,Male,10
Adopted,large_dog,0.575342466,No,Male,11
Adopted,large_dog,1,Yes,Female,4
Adopted,large_dog,2,No,Male,5
Adopted,large_dog,5,Yes,Female,9
Adopted,large_dog,2,Yes,Female,8
Adopted,large_dog,0.328767123,No,Male,7
Adopted,large_dog,0.493150685,No,Male,6
Adopted,large_dog,5,No,Male,11
Adopted,large_dog,4,No,Male,5
Adopted,large_dog,4,Yes,Female,7
Adopted,large_dog,0.082191781,No,Male,3
Adopted,large_dog,0.164383562,Yes,Female,3
Adopted,large_dog,1,No,Male,11
Adopted,large_dog,7,Yes,Female,12
Adopted,large_dog,0.821917808,No,Male,10
Adopted,large_dog,0.164383562,Yes,Female,5
